tradeinfo_Ticker,tradeinfo_entry_date,tradeinfo_entry_price,tradeinfo_exit_date,tradeinfo_exit_price,tradeinfo_gain_percentage,tradeinfo_gain_absolut,tradeinfo_tax,tradeinfo_fees,tradeinfo_exchange,fundamentals_sector,fundamentals_market_cap,fundamentals_price_to_earning,fundamentals_price_to_book,fundamentals_dept_to_equity,fundamentals_free_cash_flow,fundamentals_PEG_ratio,fundamentals_general_market_analysis,fundamentals_additional_ideas,technical_RSI,technical_trend_mac_d,technical_on_balance_volume,technical_AD_line,technical_ADX,technical_aroon_indicator,human_trading_idea_description,human_mood_on_entry,human_mood_on_exit,human_mistake,human_reflection_for_improvement,Trade Details
TSLA,2023-07-13 02:51:41,298.0707640445081,2022-02-26 16:27:02,382.74293753904686,0.1083868719818244,26.680751302084687,28.858194078250385,9.870854086995406,AMEX,Technology,669319266459.5144,22.726652363717907,7.729468965076725,0.6610521179959835,439035648.8950689,0.707529638626702,Bearish,Sell,50.31362585800877,-3.9922199862257335,990514636.8586726,0.3193136375904148,14.299168205283586,77.71469159274368,Idea 10,Positive,Positive,Mistake 10,Improvement 10,Index: 0  Ticker: TSLA  Entry Date: 2023-07-13 02:51:41   Entry Price:298.0707640445081
TSLA,2023-06-19 21:35:54,423.3589392465845,2023-10-12 12:43:15,129.82025747190832,0.1548850970305306,-54.24036690167551,10.139042610623816,1.463308761249904,CBOE,Technology,856467967586.2144,17.329375691657198,7.916986128756781,1.8670319861405809,71869976.08292773,1.947877745586155,Bullish,Sell,39.85047343973734,4.414648087765251,735335972.7600819,0.3200496010306117,5.755876001664428,81.27995672575025,Idea 4,Negative,Positive,Mistake 4,Improvement 4,Index: 1  Ticker: TSLA  Entry Date: 2023-06-19 21:35:54   Entry Price:423.3589392465845
AMZN,2023-06-09 23:18:17,126.0206371941118,2021-04-10 08:49:37,317.0784332632994,-0.0699266711893011,-50.14155417022501,18.542155772525128,1.3319825261907952,NYSE,Healthcare,279592481239.5897,10.361507272310416,3.071667414173997,0.8081050474786936,6179677.911212789,0.9899768626940612,Neutral,Buy,47.34717707805657,1.4328821844235318,697040428.1987865,0.9025529066795668,78.96181427945538,98.66395785011754,Idea 1,Positive,Neutral,Mistake 1,Improvement 1,Index: 2  Ticker: AMZN  Entry Date: 2023-06-09 23:18:17   Entry Price:126.0206371941118
AMZN,2023-03-16 19:54:12,318.68411173731187,2022-02-24 15:51:10,349.3192507310232,0.0545641645055121,79.21825998469865,15.035645916507285,6.690752475342215,NYSE,Industrials,486128139832.6404,17.001568153893516,3.7512731735846367,0.8975836272479253,251001109.15534815,1.616063964498673,Neutral,Buy,58.57755812734633,-4.767280642641741,429565033.3476433,0.3286645453699159,82.18600592903562,46.86606419941263,Idea 17,Positive,Neutral,Mistake 17,Improvement 17,Index: 3  Ticker: AMZN  Entry Date: 2023-03-16 19:54:12   Entry Price:318.68411173731187
GOOGL,2023-02-06 07:36:31,139.06884560255355,2022-02-28 15:08:14,408.89790771866296,-0.1521623016246793,-42.0497094172464,18.348220062975575,9.174392973699884,CBOE,Consumer Discretionary,887882328662.1989,24.418798485042583,9.95095459717607,0.4969455634691843,51717762.50835754,1.763034612517972,Bearish,Buy,63.50936508676438,4.611905638239142,282752537.9987352,0.3892016787341631,44.1530501373377,98.6001063822871,Idea 6,Neutral,Negative,Mistake 6,Improvement 6,Index: 4  Ticker: GOOGL  Entry Date: 2023-02-06 07:36:31   Entry Price:139.06884560255355
GOOGL,2023-01-26 14:47:30,308.0272084711243,2023-11-28 06:23:13,445.2413703502374,-0.1874283257253063,61.4880310328125,29.248945898842223,4.310048194473279,AMEX,Financials,306058496484.0491,18.687887310208573,1.678116304055154,0.663369272930817,860544213.6933635,1.1502811063711131,Bullish,Sell,2.6511310541621813,3.448753109694545,858554339.0911688,0.2932107716980645,7.276300636419353,1.1353644767419069,Idea 16,Positive,Positive,Mistake 16,Improvement 16,Index: 5  Ticker: GOOGL  Entry Date: 2023-01-26 14:47:30   Entry Price:308.0272084711243
TSLA,2022-12-22 11:51:05,221.84550766934828,2021-07-26 07:06:53,494.7547746402069,-0.0111140299352202,-84.6040180342414,20.21494605155132,3.507818178129503,BATS,Consumer Discretionary,405103618995.0679,24.883410461131245,1.3924339457899038,0.2337906486141334,397387043.3866745,1.1858977424205928,Bearish,Hold,61.585009805221645,-1.1389736219922575,803677449.4544637,0.8955232284962005,54.95288823237355,94.72485773838586,Idea 5,Positive,Negative,Mistake 5,Improvement 5,Index: 6  Ticker: TSLA  Entry Date: 2022-12-22 11:51:05   Entry Price:221.84550766934828
AMZN,2022-12-21 20:22:11,224.6844304357644,2022-11-11 21:38:23,146.34762381005189,-0.1568434292026782,7.868448383130143,29.43564165441921,7.553947137506736,AMEX,Technology,284637053762.7282,28.12197575437108,9.82298425344441,1.1503579561250248,839094568.567294,1.0982313521671918,Bullish,Sell,64.24192782063156,-1.8102436970623872,930826568.2779613,0.4484455219783197,70.096913145912,49.26251042908592,Idea 15,Neutral,Positive,Mistake 15,Improvement 15,Index: 7  Ticker: AMZN  Entry Date: 2022-12-21 20:22:11   Entry Price:224.6844304357644
AAPL,2022-12-11 13:41:40,487.8338511058234,2022-10-09 09:34:17,125.42334011440946,0.0034282764658811,-77.98961509446465,16.017566196335395,5.821972156672826,NASDAQ,Healthcare,994463005148.2098,23.378481193261997,3.4162737120114115,1.261876050644793,303962249.1585496,0.7765005114970551,Bullish,Sell,57.5474177875879,-2.1814522522660007,754788331.2105976,0.75237452943768,8.134878064189976,11.881791626807193,Idea 19,Negative,Negative,Mistake 19,Improvement 19,Index: 8  Ticker: AAPL  Entry Date: 2022-12-11 13:41:40   Entry Price:487.8338511058234
GOOGL,2022-12-09 14:20:38,365.0089137415928,2021-02-08 23:10:12,243.38629141770903,-0.1898323493023619,78.51179969799554,17.27259204758588,3.138737895931597,CBOE,Consumer Discretionary,973690172918.562,19.734843059189103,6.150632222537545,1.4469308941292254,981859047.4222206,0.5616012751518137,Bullish,Sell,7.056874740042984,-4.28811351539771,341462736.7127648,0.6318372121697993,8.410680611499743,11.119748230615134,Idea 14,Neutral,Negative,Mistake 14,Improvement 14,Index: 9  Ticker: GOOGL  Entry Date: 2022-12-09 14:20:38   Entry Price:365.0089137415928
